species	imgt_gene_id	functionality	gene_definition	allele_count	chromosome	chromosomal_localization	ligm_db_accessions	ncbi_gene_id
Bos taurus	TRAJ33	F	Bos taurus T cell receptor alpha joining 33	1	10		BK064707	-
Bos taurus	TRAJ34	F	Bos taurus T cell receptor alpha joining 34	1	10		BK064707	-
Bos taurus	TRAJ35	ORF	Bos taurus T cell receptor alpha joining 35	1	10		BK064707	-
Bos taurus	TRAJ36	F	Bos taurus T cell receptor alpha joining 36	1	10		BK064707	-
Bos taurus	TRAJ37	F	Bos taurus T cell receptor alpha joining 37	2	10		BK064707	-
Bos taurus	TRAJ38	F	Bos taurus T cell receptor alpha joining 38	1	10		BK064707	-
Bos taurus	TRAJ39	F	Bos taurus T cell receptor alpha joining 39	2	10		BK064707	-
Bos taurus	TRAJ4	F  P	Bos taurus T cell receptor alpha joining 4	2	10		BK064707	-
Bos taurus	TRAJ40	F	Bos taurus T cell receptor alpha joining 40	1	10		BK064707	-
Bos taurus	TRAJ41	F	Bos taurus T cell receptor alpha joining 41	2	10		BK064707	-
Bos taurus	TRAJ42	F	Bos taurus T cell receptor alpha joining 42	1	10		BK064707	-
Bos taurus	TRAJ43	F	Bos taurus T cell receptor alpha joining 43	1	10		BK064707	-
Bos taurus	TRAJ44	F	Bos taurus T cell receptor alpha joining 44	1	10		BK064707	-
Bos taurus	TRAJ45	F	Bos taurus T cell receptor alpha joining 45	2	10		BK064707	-
Bos taurus	TRAJ46	F	Bos taurus T cell receptor alpha joining 46	1	10		BK064707	-
Bos taurus	TRAJ47	F	Bos taurus T cell receptor alpha joining 47	1	10		BK064707	-
Bos taurus	TRAJ48	F	Bos taurus T cell receptor alpha joining 48	1	10		BK064707	-
Bos taurus	TRAJ49	F	Bos taurus T cell receptor alpha joining 49	1	10		BK064707	-
Bos taurus	TRAJ5	F	Bos taurus T cell receptor alpha joining 5	1	10		BK064707	-
Bos taurus	TRAJ50	F	Bos taurus T cell receptor alpha joining 50	1	10		BK064707	-
Bos taurus	TRAJ52	F	Bos taurus T cell receptor alpha joining 52	1	10		BK064707	-
Bos taurus	TRAJ53	F	Bos taurus T cell receptor alpha joining 53	1	10		BK064707	-
Bos taurus	TRAJ54	F	Bos taurus T cell receptor alpha joining 54	1	10		BK064707	-
Bos taurus	TRAJ56	F	Bos taurus T cell receptor alpha joining 56	1	10		BK064707	-
Bos taurus	TRAJ57	F	Bos taurus T cell receptor alpha joining 57	1	10		BK064707	-
Bos taurus	TRAJ58	F	Bos taurus T cell receptor alpha joining 58	1	10		BK064707	-
Bos taurus	TRAJ59	F	Bos taurus T cell receptor alpha joining 59	1	10		BK064707	-
Bos taurus	TRAJ6	F	Bos taurus T cell receptor alpha joining 6	1	10		BK064707	-
Bos taurus	TRAJ60	F	Bos taurus T cell receptor alpha joining 60	1	10		BK064707	-
Bos taurus	TRAJ61	P	Bos taurus T cell receptor alpha joining 61	1	10		BK064707	-
Bos taurus	TRAJ7	F	Bos taurus T cell receptor alpha joining 7	1	10		BK064707	-
Bos taurus	TRAJ8-1	F	Bos taurus T cell receptor alpha joining 8-1	1	10		BK064707	-
Bos taurus	TRAJ8-2	F	Bos taurus T cell receptor alpha joining 8-2	2	10		BK064707	-
Bos taurus	TRAJ9	F	Bos taurus T cell receptor alpha joining 9	1	10		BK064707	-
Bos taurus	TRAV1	F	Bos taurus T cell receptor alpha variable 1	1	10		BK064707	-
Bos taurus	TRAV10-1	P	Bos taurus T cell receptor alpha variable 10-1	1	10		BK064707	-
Bos taurus	TRAV10-2	P	Bos taurus T cell receptor alpha variable 10-2	1	10		BK064707	-
Bos taurus	TRAV10-3	ORF	Bos taurus T cell receptor alpha variable 10-3	1	10		BK064707	-
Bos taurus	TRAV11-1	P	Bos taurus T cell receptor alpha variable 11-1	1	10		BK064707	-
Bos taurus	TRAV11-2	P	Bos taurus T cell receptor alpha variable 11-2	1	10		BK064707	-
Bos taurus	TRAV11-3	P	Bos taurus T cell receptor alpha variable 11-3	1	10		BK064707	-
Bos taurus	TRAV12-1	F	Bos taurus T cell receptor alpha variable 12-1	1	10		BK064707	-
Bos taurus	TRAV12-2	F  P	Bos taurus T cell receptor alpha variable 12-2	3	10		BK064707	-
Bos taurus	TRAV12-3	F	Bos taurus T cell receptor alpha variable 12-3	1	10		BK064707	-
Bos taurus	TRAV13-1	F	Bos taurus T cell receptor alpha variable 13-1	2	10		BK064707	-
Bos taurus	TRAV13-2	P	Bos taurus T cell receptor alpha variable 13-2	1	10		BK064707	-
Bos taurus	TRAV13-3	P	Bos taurus T cell receptor alpha variable 13-3	3	10		BK064707	-
Bos taurus	TRAV13-4	F	Bos taurus T cell receptor alpha variable 13-4	2	10		BK064707	-
Bos taurus	TRAV14-1	F	Bos taurus T cell receptor alpha variable 14-1	1	10		BK064707	-
Bos taurus	TRAV14-2	P	Bos taurus T cell receptor alpha variable 14-2	1	10		BK064707	-
Bos taurus	TRAV14-3	F  P	Bos taurus T cell receptor alpha variable 14-3	3	10		BK064707	-
Bos taurus	TRAV14-4	ORF	Bos taurus T cell receptor alpha variable 14-4	2	10		BK064707	-
Bos taurus	TRAV16	F	Bos taurus T cell receptor alpha variable 16	1	10		BK064707	-
Bos taurus	TRAV17-1	P	Bos taurus T cell receptor alpha variable 17-1	1	10		BK064707	-
Bos taurus	TRAV17-2	F	Bos taurus T cell receptor alpha variable 17-2	2	10		BK064707	-
Bos taurus	TRAV17-3	P	Bos taurus T cell receptor alpha variable 17-3	1	10		BK064707	-
Bos taurus	TRAV18-1	F  ORF	Bos taurus T cell receptor alpha variable 18-1	3	10		BK064707	-
Bos taurus	TRAV18-2	ORF	Bos taurus T cell receptor alpha variable 18-2	1	10		BK064707	-
Bos taurus	TRAV18-3	P	Bos taurus T cell receptor alpha variable 18-3	2	10		BK064707	-
Bos taurus	TRAV18-4	F	Bos taurus T cell receptor alpha variable 18-4	1	10		BK064707	-
Bos taurus	TRAV18-5	ORF	Bos taurus T cell receptor alpha variable 18-5	1	10		BK064707	-
Bos taurus	TRAV19-1	F	Bos taurus T cell receptor alpha variable 19-1	1	10		BK064707	-
Bos taurus	TRAV19-2	F	Bos taurus T cell receptor alpha variable 19-2	1	10		BK064707	-
Bos taurus	TRAV19-3	F  ORF  P	Bos taurus T cell receptor alpha variable 19-3	3	10		BK064707	-
Bos taurus	TRAV19-4	P	Bos taurus T cell receptor alpha variable 19-4	2	10		BK064707	-
Bos taurus	TRAV2-1	F	Bos taurus T cell receptor alpha variable 2-1	1	10		BK064707	-
Bos taurus	TRAV2-2	F	Bos taurus T cell receptor alpha variable 2-2	1	10		BK064707	-
Bos taurus	TRAV2-3	P	Bos taurus T cell receptor alpha variable 2-3	1	10		BK064707	-
Bos taurus	TRAV2-4	P	Bos taurus T cell receptor alpha variable 2-4	1	10		BK064707	-
Bos taurus	TRAV2-5	F	Bos taurus T cell receptor alpha variable 2-5	1	10		BK064707	-
Bos taurus	TRAV2-6	F	Bos taurus T cell receptor alpha variable 2-6	1	10		BK064707	-
Bos taurus	TRAV2-7	F	Bos taurus T cell receptor alpha variable 2-7	1	10		BK064707	-
Bos taurus	TRAV20-1	F	Bos taurus T cell receptor alpha variable 20-1	2	10		BK064707	-
Bos taurus	TRAV20-2	P	Bos taurus T cell receptor alpha variable 20-2	1	10		BK064707	-
Bos taurus	TRAV20-3	F	Bos taurus T cell receptor alpha variable 20-3	1	10		BK064707	-
Bos taurus	TRAV20-4	ORF	Bos taurus T cell receptor alpha variable 20-4	1	10		BK064707	-
Bos taurus	TRAV21-1	ORF	Bos taurus T cell receptor alpha variable 21-1	1	10		BK064707	-
Bos taurus	TRAV21-2	P	Bos taurus T cell receptor alpha variable 21-2	1	10		BK064707	-
Bos taurus	TRAV21-3	F	Bos taurus T cell receptor alpha variable 21-3	3	10		BK064707	-
Bos taurus	TRAV21-4	F	Bos taurus T cell receptor alpha variable 21-4	1	10		BK064707	-
Bos taurus	TRAV22-1	F  ORF	Bos taurus T cell receptor alpha variable 22-1	3	10		BK064707	-
Bos taurus	TRAV22-10	ORF	Bos taurus T cell receptor alpha variable 22-10	1	10		BK064707	-
Bos taurus	TRAV22-11	F	Bos taurus T cell receptor alpha variable 22-11	1	10		BK064707	-
Bos taurus	TRAV22-12	P	Bos taurus T cell receptor alpha variable 22-12	1	10		BK064707	-
Bos taurus	TRAV22-13	P	Bos taurus T cell receptor alpha variable 22-13	1	10		BK064707	-
Bos taurus	TRAV22-14	F	Bos taurus T cell receptor alpha variable 22-14	2	10		BK064707	-
Bos taurus	TRAV22-15	ORF	Bos taurus T cell receptor alpha variable 22-15	1	10		BK064707	-
Bos taurus	TRAV22-16	F	Bos taurus T cell receptor alpha variable 22-16	1	10		BK064707	-
Bos taurus	TRAV22-2	F	Bos taurus T cell receptor alpha variable 22-2	1	10		BK064707	-
Bos taurus	TRAV22-3	ORF	Bos taurus T cell receptor alpha variable 22-3	1	10		BK064707	-
Bos taurus	TRAV22-4	F	Bos taurus T cell receptor alpha variable 22-4	1	10		BK064707	-
Bos taurus	TRAV22-5	P	Bos taurus T cell receptor alpha variable 22-5	2	10		BK064707	-
Bos taurus	TRAV22-6	P	Bos taurus T cell receptor alpha variable 22-6	1	10		BK064707	-
Bos taurus	TRAV22-7	F  P	Bos taurus T cell receptor alpha variable 22-7	3	10		BK064707	-
Bos taurus	TRAV22-8	F	Bos taurus T cell receptor alpha variable 22-8	1	10		BK064707	-
Bos taurus	TRAV22-9	P	Bos taurus T cell receptor alpha variable 22-9	2	10		BK064707	-
Bos taurus	TRAV23-1	F	Bos taurus T cell receptor alpha variable 23-1	2	10		BK064707	-
Bos taurus	TRAV23-10	P	Bos taurus T cell receptor alpha variable 23-10	1	10		BK064707	-
Bos taurus	TRAV23-11	ORF  P	Bos taurus T cell receptor alpha variable 23-11	2	10		BK064707	-
Bos taurus	TRAV23-12	P	Bos taurus T cell receptor alpha variable 23-12	2	10		BK064707	-
Bos taurus	TRAV23-2	P	Bos taurus T cell receptor alpha variable 23-2	1	10		BK064707	-
Bos taurus	TRAV23-3	P	Bos taurus T cell receptor alpha variable 23-3	1	10		BK064707	-
Bos taurus	TRAV23-4	P	Bos taurus T cell receptor alpha variable 23-4	2	10		BK064707	-
Bos taurus	TRAV23-5	P	Bos taurus T cell receptor alpha variable 23-5	1	10		BK064707	-
Bos taurus	TRAV23-6	P	Bos taurus T cell receptor alpha variable 23-6	2	10		BK064707	-
Bos taurus	TRAV23-7	P	Bos taurus T cell receptor alpha variable 23-7	2	10		BK064707	-
Bos taurus	TRAV23-8	P	Bos taurus T cell receptor alpha variable 23-8	1	10		BK064707	-
Bos taurus	TRAV23-8D	ORF  P	Bos taurus T cell receptor alpha variable 23-8D	2	10		BK064707	-
Bos taurus	TRAV23-9	P	Bos taurus T cell receptor alpha variable 23-9	1	10		BK064707	-
Bos taurus	TRAV24-1	P	Bos taurus T cell receptor alpha variable 24-1	1	10		BK064707	-
Bos taurus	TRAV24-1D	P	Bos taurus T cell receptor alpha variable 24-1D	1	10		BK064707	-
Bos taurus	TRAV24-2	F  ORF	Bos taurus T cell receptor alpha variable 24-2	2	10		BK064707	-
Bos taurus	TRAV24-3	P	Bos taurus T cell receptor alpha variable 24-3	1	10		BK064707	-
Bos taurus	TRAV24-4	F	Bos taurus T cell receptor alpha variable 24-4	1	10		BK064707	-
Bos taurus	TRAV24-5	P	Bos taurus T cell receptor alpha variable 24-5	2	10		BK064707	-
Bos taurus	TRAV24-6	P	Bos taurus T cell receptor alpha variable 24-6	2	10		BK064707	-
Bos taurus	TRAV25-1	F	Bos taurus T cell receptor alpha variable 25-1	1	10		BK064707	-
Bos taurus	TRAV25-10	P	Bos taurus T cell receptor alpha variable 25-10	1	10		BK064707	-
Bos taurus	TRAV25-11	P	Bos taurus T cell receptor alpha variable 25-11	1	10		BK064707	-
Bos taurus	TRAV25-12	F  P	Bos taurus T cell receptor alpha variable 25-12	2	10		BK064707	-
Bos taurus	TRAV25-13	F	Bos taurus T cell receptor alpha variable 25-13	2	10		BK064707	-
Bos taurus	TRAV25-14	ORF	Bos taurus T cell receptor alpha variable 25-14	1	10		BK064707	-
Bos taurus	TRAV25-2	P	Bos taurus T cell receptor alpha variable 25-2	1	10		BK064707	-
Bos taurus	TRAV25-3	P	Bos taurus T cell receptor alpha variable 25-3	1	10		BK064707	-
Bos taurus	TRAV25-3D	P	Bos taurus T cell receptor alpha variable 25-3D	1	10		BK064707	-
Bos taurus	TRAV25-4	F	Bos taurus T cell receptor alpha variable 25-4	1	10		BK064707	-
Bos taurus	TRAV25-5	P	Bos taurus T cell receptor alpha variable 25-5	1	10		BK064707	-
Bos taurus	TRAV25-6	P	Bos taurus T cell receptor alpha variable 25-6	1	10		BK064707	-
Bos taurus	TRAV25-7	P	Bos taurus T cell receptor alpha variable 25-7	1	10		BK064707	-
Bos taurus	TRAV25-8	F	Bos taurus T cell receptor alpha variable 25-8	2	10		BK064707	-
Bos taurus	TRAV25-9	P	Bos taurus T cell receptor alpha variable 25-9	1	10		BK064707	-
Bos taurus	TRAV26	P	Bos taurus T cell receptor alpha variable 26	3	10		BK064707	-
Bos taurus	TRAV27	ORF  P	Bos taurus T cell receptor alpha variable 27	2	10		BK064707	-
Bos taurus	TRAV28-1	F	Bos taurus T cell receptor alpha variable 28-1	2	10		BK064707	-
Bos taurus	TRAV28-2	P	Bos taurus T cell receptor alpha variable 28-2	1	10		BK064707	-
Bos taurus	TRAV28-3	F	Bos taurus T cell receptor alpha variable 28-3	2	10		BK064707	-
Bos taurus	TRAV29-1	ORF	Bos taurus T cell receptor alpha variable 29-1	1	10		BK064707	-
Bos taurus	TRAV29-2	F	Bos taurus T cell receptor alpha variable 29-2	3	10		BK064707	-
Bos taurus	TRAV3-1	F	Bos taurus T cell receptor alpha variable 3-1	1	10		BK064707	-
Bos taurus	TRAV3-2	F	Bos taurus T cell receptor alpha variable 3-2	1	10		BK064707	-
Bos taurus	TRAV3-3	F  P	Bos taurus T cell receptor alpha variable 3-3	2	10		BK064707	-
Bos taurus	TRAV3-4	F	Bos taurus T cell receptor alpha variable 3-4	1	10		BK064707	-
Bos taurus	TRAV3-5	F	Bos taurus T cell receptor alpha variable 3-5	1	10		BK064707	-
Bos taurus	TRAV3-6	F	Bos taurus T cell receptor alpha variable 3-6	1	10		BK064707	-
Bos taurus	TRAV3-7	F	Bos taurus T cell receptor alpha variable 3-7	1	10		BK064707	-
Bos taurus	TRAV33-1	P	Bos taurus T cell receptor alpha variable 33-1	1	10		BK064707	-
Bos taurus	TRAV33-2	P	Bos taurus T cell receptor alpha variable 33-2	2	10		BK064707	-
Bos taurus	TRAV33-3	F  P	Bos taurus T cell receptor alpha variable 33-3	4	10		BK064707	-
Bos taurus	TRAV34-1	P	Bos taurus T cell receptor alpha variable 34-1	2	10		BK064707	-
Bos taurus	TRAV34-2	P	Bos taurus T cell receptor alpha variable 34-2	2	10		BK064707	-
Bos taurus	TRAV35-1	F	Bos taurus T cell receptor alpha variable 35-1	1	10		BK064707	-
Bos taurus	TRAV35-2	F	Bos taurus T cell receptor alpha variable 35-2	1	10		BK064707	-
Bos taurus	TRAV36-1	P	Bos taurus T cell receptor alpha variable 36-1	1	10		BK064707	-
Bos taurus	TRAV36-2	F	Bos taurus T cell receptor alpha variable 36-2	1	10		BK064707	-
Bos taurus	TRAV37-1	P	Bos taurus T cell receptor alpha variable 37-1	1	10		BK064707	-
Bos taurus	TRAV37-2	P	Bos taurus T cell receptor alpha variable 37-2	1	10		BK064707	-
Bos taurus	TRAV38-1	F	Bos taurus T cell receptor alpha variable 38-1	2	10		BK064707	-
Bos taurus	TRAV38-2	F	Bos taurus T cell receptor alpha variable 38-2	2	10		BK064707	-
Bos taurus	TRAV38-3	F	Bos taurus T cell receptor alpha variable 38-3	2	10		BK064707	-
Bos taurus	TRAV38-4	F	Bos taurus T cell receptor alpha variable 38-4	1	10		BK064707	-
Bos taurus	TRAV38-5	F	Bos taurus T cell receptor alpha variable 38-5	1	10		BK064707	-
Bos taurus	TRAV38-6	F	Bos taurus T cell receptor alpha variable 38-6	1	10		BK064707	-
Bos taurus	TRAV39-1	F	Bos taurus T cell receptor alpha variable 39-1	1	10		BK064707	-
Bos taurus	TRAV39-2	ORF	Bos taurus T cell receptor alpha variable 39-2	1	10		BK064707	-
Bos taurus	TRAV4	P	Bos taurus T cell receptor alpha variable 4	1	10		BK064707	-
Bos taurus	TRAV40	P	Bos taurus T cell receptor alpha variable 40	1	10		BK064707	-
Bos taurus	TRAV41	F	Bos taurus T cell receptor alpha variable 41	1	10		BK064707	-
Bos taurus	TRAV43-1	F	Bos taurus T cell receptor alpha variable 43-1	1	10		BK064707	-
Bos taurus	TRAV43-2	F	Bos taurus T cell receptor alpha variable 43-2	1	10		BK064707	-
Bos taurus	TRAV43-3	F	Bos taurus T cell receptor alpha variable 43-3	4	10		BK064707	-
Bos taurus	TRAV44-1	F	Bos taurus T cell receptor alpha variable 44-1	1	10		BK064707	-
Bos taurus	TRAV44-10	F	Bos taurus T cell receptor alpha variable 44-10	1	10		BK064707	-
Bos taurus	TRAV44-11	P	Bos taurus T cell receptor alpha variable 44-11	1	10		BK064707	-
Bos taurus	TRAV44-12	P	Bos taurus T cell receptor alpha variable 44-12	1	10		BK064707	-
Bos taurus	TRAV44-13	P	Bos taurus T cell receptor alpha variable 44-13	1	10		BK064707	-
Bos taurus	TRAV44-14	P	Bos taurus T cell receptor alpha variable 44-14	2	10		BK064707	-
Bos taurus	TRAV44-15	ORF	Bos taurus T cell receptor alpha variable 44-15	1	10		BK064707	-
Bos taurus	TRAV44-16	F  P	Bos taurus T cell receptor alpha variable 44-16	2	10		BK064707	-
Bos taurus	TRAV44-17	P	Bos taurus T cell receptor alpha variable 44-17	2	10		BK064707	-
Bos taurus	TRAV44-18	F	Bos taurus T cell receptor alpha variable 44-18	1	10		BK064707	-
Bos taurus	TRAV44-2	P	Bos taurus T cell receptor alpha variable 44-2	1	10		BK064707	-
Bos taurus	TRAV44-3	F	Bos taurus T cell receptor alpha variable 44-3	1	10		BK064707	-
Bos taurus	TRAV44-4	F	Bos taurus T cell receptor alpha variable 44-4	1	10		BK064707	-
Bos taurus	TRAV44-5	P	Bos taurus T cell receptor alpha variable 44-5	2	10		BK064707	-
Bos taurus	TRAV44-6	F	Bos taurus T cell receptor alpha variable 44-6	1	10		BK064707	-
Bos taurus	TRAV44-7	P	Bos taurus T cell receptor alpha variable 44-7	1	10		BK064707	-
Bos taurus	TRAV44-8	F	Bos taurus T cell receptor alpha variable 44-8	1	10		BK064707	-
Bos taurus	TRAV44-9	F	Bos taurus T cell receptor alpha variable 44-9	1	10		BK064707	-
Bos taurus	TRAV45-1	P	Bos taurus T cell receptor alpha variable 45-1	1	10		BK064707	-
Bos taurus	TRAV45-10	ORF	Bos taurus T cell receptor alpha variable 45-10	1	10		BK064707	-
Bos taurus	TRAV45-11	F	Bos taurus T cell receptor alpha variable 45-11	1	10		BK064707	-
Bos taurus	TRAV45-12	F	Bos taurus T cell receptor alpha variable 45-12	1	10		BK064707	-
Bos taurus	TRAV45-13	F  P	Bos taurus T cell receptor alpha variable 45-13	2	10		BK064707	-
Bos taurus	TRAV45-14	F  P	Bos taurus T cell receptor alpha variable 45-14	2	10		BK064707	-
Bos taurus	TRAV45-15	F	Bos taurus T cell receptor alpha variable 45-15	2	10		BK064707	-
Bos taurus	TRAV45-2	F	Bos taurus T cell receptor alpha variable 45-2	2	10		BK064707	-
Bos taurus	TRAV45-3	F	Bos taurus T cell receptor alpha variable 45-3	1	10		BK064707	-
Bos taurus	TRAV45-4	F	Bos taurus T cell receptor alpha variable 45-4	1	10		BK064707	-
Bos taurus	TRAV45-5	(F)  F	Bos taurus T cell receptor alpha variable 45-5	2	10		BK064707	-
Bos taurus	TRAV45-6	F	Bos taurus T cell receptor alpha variable 45-6	2	10		BK064707	-
Bos taurus	TRAV45-7	F	Bos taurus T cell receptor alpha variable 45-7	1	10		BK064707	-
Bos taurus	TRAV45-8	F	Bos taurus T cell receptor alpha variable 45-8	1	10		BK064707	-
Bos taurus	TRAV45-9	P	Bos taurus T cell receptor alpha variable 45-9	2	10		BK064707	-
Bos taurus	TRAV46	P	Bos taurus T cell receptor alpha variable 46	1	10		BK064707	-
Bos taurus	TRAV5	F	Bos taurus T cell receptor alpha variable 5	3	10		BK064707	-
Bos taurus	TRAV6	P	Bos taurus T cell receptor alpha variable 6	2	10		BK064707	-
Bos taurus	TRAV8-1	F	Bos taurus T cell receptor alpha variable 8-1	3	10		BK064707	-
Bos taurus	TRAV8-2	P	Bos taurus T cell receptor alpha variable 8-2	1	10		BK064707	-
Bos taurus	TRAV8-3	P	Bos taurus T cell receptor alpha variable 8-3	3	10		BK064707	-
Bos taurus	TRAV8-4	P	Bos taurus T cell receptor alpha variable 8-4	1	10		BK064707	-
Bos taurus	TRAV8-5	P	Bos taurus T cell receptor alpha variable 8-5	1	10		BK064707	-
Bos taurus	TRAV9-1	F	Bos taurus T cell receptor alpha variable 9-1	3	10		BK064707	-
Bos taurus	TRAV9-2	P	Bos taurus T cell receptor alpha variable 9-2	1	10		BK064707	-
Bos taurus	TRAV9-3	F	Bos taurus T cell receptor alpha variable 9-3	1	10		BK064707	-
Bos taurus	TRAV9-4	P	Bos taurus T cell receptor alpha variable 9-4	1	10		BK064707	-
Bos taurus	TRAV9-5	F	Bos taurus T cell receptor alpha variable 9-5	1	10		BK064707	-
Bos taurus	TRAV9-6	F	Bos taurus T cell receptor alpha variable 9-6	2	10		BK064707	-
Bos taurus	TRBC1	F	Bos taurus T cell receptor beta constant 1	2	4		IMGT000084	-
Bos taurus	TRBC2	F	Bos taurus T cell receptor beta constant 2	2	4		IMGT000084	-
Bos taurus	TRBC3	F	Bos taurus T cell receptor beta constant 3	2	4		IMGT000084	-
Bos taurus	TRBD1	F	Bos taurus T cell receptor beta diversity 1	1	4		IMGT000084	-
Bos taurus	TRBD2	F	Bos taurus T cell receptor beta diversity 2	1	4		IMGT000084	-
Bos taurus	TRBD3	F	Bos taurus T cell receptor beta diversity 3	1	4		IMGT000084	-
Bos taurus	TRBJ1-1	F	Bos taurus T cell receptor beta joining 1-1	1	4		IMGT000084	-
Bos taurus	TRBJ1-2	F	Bos taurus T cell receptor beta joining 1-2	1	4		IMGT000084	-
Bos taurus	TRBJ1-3	ORF	Bos taurus T cell receptor beta joining 1-3	1	4		IMGT000084	-
Bos taurus	TRBJ1-4	F	Bos taurus T cell receptor beta joining 1-4	1	4		IMGT000084	-
Bos taurus	TRBJ1-5	ORF	Bos taurus T cell receptor beta joining 1-5	1	4		IMGT000084	-
Bos taurus	TRBJ1-6	ORF	Bos taurus T cell receptor beta joining 1-6	1	4		IMGT000084	-
Bos taurus	TRBJ2-1	F	Bos taurus T cell receptor beta joining 2-1	2	4		IMGT000084	-
Bos taurus	TRBJ2-2	F	Bos taurus T cell receptor beta joining 2-2	1	4		IMGT000084	-
Bos taurus	TRBJ2-3	F	Bos taurus T cell receptor beta joining 2-3	2	4		IMGT000084	-
Bos taurus	TRBJ2-4	F	Bos taurus T cell receptor beta joining 2-4	1	4		IMGT000084	-
Bos taurus	TRBJ2-5	F	Bos taurus T cell receptor beta joining 2-5	1	4		IMGT000084	-
Bos taurus	TRBJ2-6	F	Bos taurus T cell receptor beta joining 2-6	2	4		IMGT000084	-
Bos taurus	TRBJ2-7	F	Bos taurus T cell receptor beta joining 2-7	1	4		IMGT000084	-
Bos taurus	TRBJ3-1	F	Bos taurus T cell receptor beta joining 3-1	1	4		IMGT000084	-
Bos taurus	TRBJ3-2	F	Bos taurus T cell receptor beta joining 3-2	1	4		IMGT000084	-
Bos taurus	TRBJ3-3	F	Bos taurus T cell receptor beta joining 3-3	1	4		IMGT000084	-
Bos taurus	TRBJ3-4	F	Bos taurus T cell receptor beta joining 3-4	1	4		IMGT000084	-
Bos taurus	TRBJ3-5	F	Bos taurus T cell receptor beta joining 3-5	1	4		IMGT000084	-
Bos taurus	TRBJ3-6	P	Bos taurus T cell receptor beta joining 3-6	1	4		IMGT000084	-
Bos taurus	TRBV1	F	Bos taurus T cell receptor beta variable 1	1	4		IMGT000084	-
Bos taurus	TRBV10	P	Bos taurus T cell receptor beta variable 10	1	4		IMGT000084	-
Bos taurus	TRBV11	P	Bos taurus T cell receptor beta variable 11	1	4		IMGT000084	-
Bos taurus	TRBV12-1	F	Bos taurus T cell receptor beta variable 12-1	1	4		IMGT000084	-
Bos taurus	TRBV12-2	F	Bos taurus T cell receptor beta variable 12-2	1	4		IMGT000084	-
Bos taurus	TRBV13	P	Bos taurus T cell receptor beta variable 13	1	4		IMGT000084	-
Bos taurus	TRBV14	F	Bos taurus T cell receptor beta variable 14	1	4		IMGT000084	-
Bos taurus	TRBV15	F	Bos taurus T cell receptor beta variable 15	1	4		IMGT000084	-
Bos taurus	TRBV16	P	Bos taurus T cell receptor beta variable 16	1	4		IMGT000084	-
Bos taurus	TRBV18-1	P	Bos taurus T cell receptor beta variable 18-1	1	4		IMGT000084	-
