# Free-text antigen source molecule name → VDJdb canonical antigen.gene
# Strip "[species]" suffix and trailing " protein"/" glycoprotein" before lookup.
# Exact string match after stripping. Lines starting with # are comments and are ignored.
source_name	vdjdb_name
glycoprotein B	gB
large T antigen	LT
ovalbumin	OVA
Insulin-1	Ins1
Insulin-2	Ins2
Melanoma antigen recognized by T-cells 1	MLANA
Chain C, Melanocyte protein PMEL	PMEL
Melanocyte protein PMEL	PMEL
Bone marrow stromal antigen 2	BST2
islet-specific glucose-6-phosphatase-related protein isoform 1	IGRP
Cancer/testis antigen 1	NY-ESO-1
Apolipoprotein B-100	ApoB
Fibronectin type III domain-containing protein 3B	FNDC3B
Kinetochore protein Nuf2	NUF2
Lymphocyte antigen 6K	LY6K
Insulin-like growth factor 2 mRNA-binding protein 2	IGF2BP2
Neutral alpha-glucosidase AB	GANAB
transcription factor NYD-sp10	KIF20A
Insulin	INS
proinsulin precursor	INS
insulin	INS
Orexin	HCRT
orexin precursor	HCRT
Myelin proteolipid protein	PLP
myelin/oligodendrocyte glycoprotein	MOG
Myelin basic protein	MBP
MBP protein	MBP
Glypican-3	GPC3
Receptor tyrosine-protein kinase erbB-2	HER2
Wilms tumor protein	WT1
Glutamate decarboxylase 2	GAD2
G1/S-specific cyclin-D1	CCND1
Cyclin-dependent kinase 4	CDK4
Alpha-fetoprotein	AFP
Coagulation factor VIII	F8
Prostatic acid phosphatase	ACPP
Protein SSX2	SSX2
Fusion protein SYT-SSX2	SYT-SSX2
Histone-lysine N-methyltransferase 2D	KMT2D
zinc transporter 8 isoform a	SLC30A8
Proton-coupled zinc antiporter SLC30A8	SLC30A8
Integrin beta-3	ITGB3
histocompatibility (minor) HA-1	HA-1
K-ras oncogene protein	KRAS
GPER protein	GPER
Trophoblast glycoprotein	TPBG
T-box transcription factor TBX3	TBX3
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	PPP1CA
Chromogranin-A	CHGA
# --- Additional mappings added during vdjdb-wide harmonization ---
Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	NSDHL
Protein transport protein Sec24A	SEC24A
HAUS augmin-like complex subunit 3	HAUS3
WD repeat-containing protein 46	WDR46
Phosphoglucomutase-like protein 5	PGM5
UPF0324 inner membrane protein YeiH	yeiH
2-oxoglutarate dehydrogenase complex component E1	OGDH
HLA class II histocompatibility antigen, DRB1 beta chain	HLA-DRB1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3	SMARCD3
Neuroblastoma breakpoint family member 14	NBPF14
Collagen alpha-1(XVIII) chain	COL18A1
Collagen alpha-3(IV) chain	COL4A3
peptidylarginine deiminase type IV	PADI4
NADP-dependent malic enzyme	ME1
BTB/POZ domain-containing protein 1	BTBD1
Chain B, Structure Of Insulin	INS
Small nuclear ribonucleoprotein-associated proteins B and B'	SNRPB
Putative transcription factor Ovo-like 1	OVOL1
Solute carrier family 15 member 2	SLC15A2
Small nuclear ribonucleoprotein G	SNRPG
U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3
Gp33(Y4A)	GPC
Gp33(PA)	GPC
Gp33(PF)	GPC
MULTISPECIES: glutamine synthetase 1	glnA
Melanoma-associated antigen 10	MAGEA10
Melanoma-associated antigen C2	MAGEC2
Polyadenylate-binding protein 1	PABPC1
Proline-, glutamic acid- and leucine-rich protein 1	PELP1
Probable ATP-dependent RNA helicase DDX5	DDX5
V-type proton ATPase subunit S1	ATP6AP1
Neuroblastoma breakpoint family member 1	NBPF1
Monocarboxylate transporter 1	SLC16A1
Ubiquitin-like activating enzyme	UBA1
Guanine nucleotide-binding protein subunit beta-like	RACK1
pristinamycin resistance protein VgaB	VgaB
N-acetylmuramoyl-L-alanine amidase	AmiA
dense granule antigen protein 6	GRA6
DNA replication complex GINS protein PSF1	GINS2
Cartilage intermediate layer protein 1	CILP
Chain B, Hiv-1 Nef Protein In Complex With R96i Mutant Fyn Sh3 Domain	Nef
MULTISPECIES: HAD family hydrolase	HAD
PD-(D/E)XK nuclease family	PD-DXK
hypothetical protein CORT_0A05310	CORT_0A05310
Sodium/glucose cotransporter 4	SLC5A4
Serine palmitoyltransferase small subunit B	SPTSSB
Sodium/myo-inositol cotransporter 2	SLC5A11
Sodium/glucose cotransporter 5	SLC5A5
Solute carrier family 5 member 4	SLC5A4
Vacuolar protein sorting-associated protein 8 homolog	VPS8
Structural maintenance of chromosomes protein 1A	SMC1A
coxsackievirus B1	VP1
Cytochrome c	CYC
HAD family hydrolase	HAD
Toll-like receptor 1	TLR1
Ribonuclease H2 subunit B	RNASEH2B
Alanine dehydrogenase	ald
GTP-binding protein EngA	engA
C-C motif chemokine 4	CCL4
Leader peptide	Leader
Protein Njmu-R1	NJMU-R1
Unnamed protein product	Unnamed
truncated integrin beta 3	ITGB3
clathrin light chain B	CLTB
Tissue factor	F3
glycoprotein GP	GPC
